5 	 12 
6 	 15 
7 	 19 
8 	 52 
9 	 33 
10 	 45 
11 	 70 
12 	 63 
13 	 72 
14 	 110 
15 	 131 
16 	 145 
17 	 162 
18 	 195 
19 	 206 
20 	 226 
21 	 240 
22 	 277 
23 	 310 
24 	 336 
25 	 375 
26 	 412 
27 	 442 
28 	 567 
29 	 535 
30 	 578 
31 	 620 
32 	 670 
33 	 706 
34 	 794 
35 	 880 
36 	 874 
37 	 938 
38 	 968 
39 	 1052 
40 	 1183 
41 	 1328 
42 	 1287 
43 	 1381 
44 	 1511 
45 	 1520 
46 	 1693 
47 	 1714 
48 	 1849 
49 	 1946 
50 	 2122 
51 	 2117 
52 	 2137 
53 	 2306 
54 	 2376 
55 	 2572 
56 	 2780 
57 	 2833 
58 	 2896 
59 	 3041 
60 	 3196 
61 	 3340 
62 	 3496 
63 	 3567 
64 	 3667 
65 	 3775 
66 	 4204 
67 	 4346 
68 	 4622 
69 	 4690 
70 	 4728 
71 	 4857 
72 	 5294 
73 	 5224 
74 	 5642 
75 	 5971 
76 	 6163 
77 	 6174 
78 	 6371 
79 	 6367 
80 	 6562 
81 	 6808 
82 	 7075 
83 	 7703 
84 	 7805 
85 	 7841 
86 	 8081 
87 	 8664 
88 	 8646 
89 	 9064 
90 	 9137 
91 	 9693 
92 	 11415 
93 	 10185 
94 	 10042 
95 	 10772 
96 	 11311 
97 	 10744 
98 	 11241 
99 	 12189 
